LIN	Species	Strain	Filename	Accession	taxid_LIN	parent_LIN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1	trachomatis	6276s	GCF_000173495.1_ASM17349v1_genomic.fna	GCF_000173495.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,52,53,54,56	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,52,53,54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0	trachomatis	J/31-98	GCF_000590755.1_ASM59075v1_genomic.fna	GCF_000590755.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,52,53,57,58	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,52,53,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0	trachomatis	Ia/SotonIa3	GCF_000318785.1_ASM31878v1_genomic.fna	GCF_000318785.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61,62	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1	trachomatis	SQ07	GCF_002776935.1_ASM277693v1_genomic.fna	GCF_002776935.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61,63	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0	trachomatis	SQ09	GCF_002776955.1_ASM277695v1_genomic.fna	GCF_002776955.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64,65	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1	trachomatis	SQ10	GCF_002776975.1_ASM277697v1_genomic.fna	GCF_002776975.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64,66	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2	trachomatis	SQ14	GCF_002777015.1_ASM277701v1_genomic.fna	GCF_002777015.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64,67	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0	trachomatis	Ia20-97	GCF_000590715.1_ASM59071v1_genomic.fna	GCF_000590715.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,68,69	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0	trachomatis	SQ12	GCF_002776995.1_ASM277699v1_genomic.fna	GCF_002776995.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,70,71,72	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,70,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0	trachomatis	SQ06	GCF_002776915.1_ASM277691v1_genomic.fna	GCF_002776915.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,73,74,75	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,73,74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0	trachomatis	SQ01	GCF_002777035.1_ASM277703v1_genomic.fna	GCF_002777035.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,79,80	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1	trachomatis	SQ05	GCF_002777075.1_ASM277707v1_genomic.fna	GCF_002777075.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,79,81	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0	trachomatis	SQ02	GCF_002777055.1_ASM277705v1_genomic.fna	GCF_002777055.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,82,83	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,78,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	trachomatis	SQ15	GCF_002777135.1_ASM277713v1_genomic.fna	GCF_002777135.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,84,85,86,87,88,89	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,84,85,86,87,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1	trachomatis	SQ19	GCF_002777155.1_ASM277715v1_genomic.fna	GCF_002777155.1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,84,85,86,87,88,90	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,84,85,86,87,88
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	trachomatis	A/HAR-13	GCF_000012125.1_ASM1212v1_genomic.fna	GCF_000012125.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,93,94,95,96,97	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,93,94,95,96
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	trachomatis	SB006930	GCF_001729845.1_ASM172984v1_genomic.fna	GCF_001729845.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,101,102	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,101
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1	trachomatis	SB013112	GCF_001729885.1_ASM172988v1_genomic.fna	GCF_001729885.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,101,103	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,101
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0	trachomatis	SB013321	GCF_001729905.1_ASM172990v1_genomic.fna	GCF_001729905.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,104,105	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,99,100,104
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0	trachomatis	B/TZ1A828/OT	GCF_000026905.1_ASM2690v1_genomic.fna	GCF_000026905.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,107,108,109,110,111	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,107,108,109,110
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0	trachomatis	A2497	GCF_000226605.1_ASM22660v1_genomic.fna	GCF_000226605.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,115,116	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,115
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0	trachomatis	A/363	GCF_000318525.1_ASM31852v2_genomic.fna	GCF_000318525.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,117,118	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,117
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1	trachomatis	A/7249	GCF_000318565.1_ASM31856v1_genomic.fna	GCF_000318565.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,117,119	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,106,112,113,114,117
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0	trachomatis	Jali20	GCF_000026925.1_ASM2692v1_genomic.fna	GCF_000026925.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,120,121,122,123,124,125	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,120,121,122,123,124
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0	trachomatis	C/TW-3	GCF_000507225.1_ASM50722v1_genomic.fna	GCF_000507225.1	1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,129,130,131	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,129,130
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	trachomatis	E/150	GCF_000092665.1_ASM9266v1_genomic.fna	GCF_000092665.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,137,138,139	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,137,138
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0	trachomatis	Sweden2	GCF_000210495.1_ASM21049v1_genomic.fna	GCF_000210495.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,141,142	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,141
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0	trachomatis	E/SW3	GCF_000304495.1_Cm_ESW3_genomic.fna	GCF_000304495.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,143,144	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,143
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0	trachomatis	E-160	GCF_001655375.1_ASM165537v1_genomic.fna	GCF_001655375.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,145,146	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,145
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1	trachomatis	E-547	GCF_001655415.1_ASM165541v1_genomic.fna	GCF_001655415.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,145,147	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,145
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0	trachomatis	E-32931	GCF_001655495.1_ASM165549v1_genomic.fna	GCF_001655495.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,148,149	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,140,148
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0	trachomatis	E-103	GCF_001655335.1_ASM165533v1_genomic.fna	GCF_001655335.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,150,151,152	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,150,151
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0	trachomatis	E/C599	GCF_000969785.1_ASM96978v1_genomic.fna	GCF_000969785.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,153,154,155	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,136,153,154
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0	trachomatis	E/SotonE4	GCF_000318665.1_ASM31866v1_genomic.fna	GCF_000318665.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,156,157,158,159	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,135,156,157,158
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0	trachomatis	E/11023	GCF_000092745.1_ASM9274v1_genomic.fna	GCF_000092745.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,162,163,164	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,162,163
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0	trachomatis	E/Bour	GCF_000318645.1_ASM31864v1_genomic.fna	GCF_000318645.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,166,167	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,166
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0	trachomatis	E/CS1025/11	GCF_001183805.1_ASM118380v1_genomic.fna	GCF_001183805.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168,169	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1	trachomatis	IU888	GCF_000348825.1_ASM34882v1_genomic.fna	GCF_000348825.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168,170	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2	trachomatis	IU824	GCF_000348845.1_ASM34884v1_genomic.fna	GCF_000348845.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168,171	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0	trachomatis	E/12-94	GCF_000590655.1_ASM59065v1_genomic.fna	GCF_000590655.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,172,173,174,175,176	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,172,173,174,175
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0	trachomatis	E-DK-20	GCF_001655535.1_ASM165553v1_genomic.fna	GCF_001655535.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,177,178,179,180,181,182	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,177,178,179,180,181
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0	trachomatis	70s	GCF_000173535.1_ASM17353v1_genomic.fna	GCF_000173535.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,183,184,185,186,187,188	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,183,184,185,186,187
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0	trachomatis	D(s)2923	GCF_000174055.1_ASM17405v1_genomic.fna	GCF_000174055.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,192,193,194	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,192,193
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0	trachomatis	D/13-96	GCF_000590675.1_ASM59067v1_genomic.fna	GCF_000590675.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,192,195,196	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,192,195
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0	trachomatis	F/SW4	GCF_000304515.1_Cm_FSW4_genomic.fna	GCF_000304515.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,198,199	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,198
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0	trachomatis	F/SW5	GCF_000304535.1_Cm_FSW5_genomic.fna	GCF_000304535.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,200,201	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,200
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0	trachomatis	F/11-96	GCF_000590635.1_ASM59063v1_genomic.fna	GCF_000590635.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,202,203	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,202
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,3,0	trachomatis	F-6068	GCF_001655575.1_ASM165557v1_genomic.fna	GCF_001655575.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,204,205	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,204
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,4,0	trachomatis	F/2-93	GCF_000590595.1_ASM59059v1_genomic.fna	GCF_000590595.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,206,207	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,206
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5,0	trachomatis	F/SWFPminus	GCF_000969805.1_ASM96980v1_genomic.fna	GCF_000969805.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,208,209	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,208
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0	trachomatis	F/1-93	GCF_000590575.1_ASM59057v1_genomic.fna	GCF_000590575.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,210,211,212	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,210,211
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0	trachomatis	F/6-94	GCF_000590615.1_ASM59061v1_genomic.fna	GCF_000590615.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,213,214,215	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,213,214
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0	trachomatis	F/CS847/08	GCF_001183825.1_ASM118382v1_genomic.fna	GCF_001183825.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,216,217,218	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,216,217
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0	trachomatis	E-8873	GCF_001655455.1_ASM165545v1_genomic.fna	GCF_001655455.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,219,220,221,222	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,219,220,221
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0	trachomatis	SQ25	GCF_002777095.1_ASM277709v1_genomic.fna	GCF_002777095.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,223,224,225,226	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,223,224,225
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1	trachomatis	SQ28	GCF_002777115.1_ASM277711v1_genomic.fna	GCF_002777115.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,223,224,225,227	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,223,224,225
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0	trachomatis	SQ32	GCF_002776745.1_ASM277674v1_genomic.fna	GCF_002776745.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,228,229,230,231,232	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,228,229,230,231
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1	trachomatis	SQ29	GCF_002776795.1_ASM277679v1_genomic.fna	GCF_002776795.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,228,229,230,231,233	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,228,229,230,231
0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0	trachomatis	J/27-97	GCF_000590735.1_ASM59073v1_genomic.fna	GCF_000590735.1	1,2,3,4,5,6,7,8,9,10,11,12,132,133,234,235,236,237,238,239	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,234,235,236,237,238
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	trachomatis	L2b/795	GCF_000318985.1_ASM31898v1_genomic.fna	GCF_000318985.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,245,246,247,248	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,245,246,247
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1	trachomatis	L2f	GCF_025723025.1_ASM2572302v1_genomic.fna	GCF_025723025.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,245,246,247,249	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,245,246,247
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0	trachomatis	L2/434/Bu(f)	GCF_000364785.1_ASM36478v1_genomic.fna	GCF_000364785.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,251,252,253	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,251,252
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1	trachomatis	L2/25667R	GCF_000318885.1_ASM31888v1_genomic.fna	GCF_000318885.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,251,252,254	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,251,252
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0	trachomatis	L2c	GCF_000220105.1_ASM22010v1_genomic.fna	GCF_000220105.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,255,256,257	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,255,256
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0	trachomatis	LGV_II_434	GCF_036285905.1_ASM3628590v1_genomic.fna	GCF_036285905.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,258,259,260,261	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,258,259,260
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0	trachomatis	L2_ref	L2_ref.fna	L2_ref	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,262,263,264,265	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,262,263,264
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1	trachomatis	L1/224	GCF_000318865.1_ASM31886v1_genomic.fna	GCF_000318865.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,262,263,264,266	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,262,263,264
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0	trachomatis	L1/1322/p2	GCF_000319165.1_ASM31916v1_genomic.fna	GCF_000319165.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,267,268,269,270	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,267,268,269
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0	trachomatis	L3/404/LN	GCF_000319105.1_ASM31910v1_genomic.fna	GCF_000319105.1	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,271,272,273,274,275	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,271,272,273,274
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0	trachomatis	A_ref	A_ref.fna	A_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,91,276,277,278,279,280,281	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,276,277,278,279,280
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0	trachomatis	Ba_ref	Ba_ref.fna	Ba_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,282,283,284,285	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,92,98,282,283,284
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0	trachomatis	B_ref	B_ref.fna	B_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,286,287,288	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,286,287
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0	trachomatis	C_ref	C_ref.fna	C_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,129,289,290	1,1,2,3,4,5,6,7,8,9,10,11,12,13,91,126,127,128,129,289
0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0	trachomatis	Da_ref	Da_ref.fna	Da_ref	1,2,3,4,5,6,7,8,9,10,11,12,132,133,291,292,293,294,295,296	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,291,292,293,294,295
